iter	Passed	Remaining
0	1	1566
1	3	1525
2	4	1434
3	5	1384
4	6	1353
5	8	1327
6	9	1309
7	10	1314
8	12	1343
9	13	1370
10	15	1379
11	16	1368
12	17	1360
13	19	1349
14	20	1337
15	21	1327
16	22	1320
17	25	1410
18	27	1435
19	29	1430
20	30	1427
21	31	1421
22	33	1421
23	34	1420
24	36	1411
25	37	1403
26	43	1573
27	45	1563
28	46	1554
29	47	1551
30	49	1544
31	50	1537
32	52	1530
33	53	1528
34	58	1610
35	59	1605
36	61	1595
37	62	1590
38	64	1584
39	65	1576
40	67	1569
41	71	1623
42	73	1632
43	74	1626
44	76	1616
45	77	1605
46	78	1594
47	79	1583
48	81	1586
49	83	1588
50	87	1634
51	89	1632
52	90	1623
53	92	1615
54	93	1608
55	95	1609
56	99	1644
57	103	1673
58	104	1668
59	106	1676
60	110	1700
61	112	1698
62	114	1698
63	119	1743
64	121	1742
65	122	1736
66	125	1752
67	127	1746
68	128	1738
69	130	1730
70	133	1747
71	135	1740
72	136	1734
73	138	1728
74	139	1721
75	141	1715
76	142	1708
77	146	1734
78	148	1727
79	149	1719
80	151	1713
81	152	1711
82	154	1702
83	155	1700
84	157	1693
85	158	1687
86	161	1691
87	162	1685
88	164	1680
89	165	1676
90	167	1674
91	169	1668
92	170	1662
93	172	1658
94	175	1675
95	177	1670
96	178	1666
97	180	1663
98	182	1658
99	183	1653
100	185	1646
101	186	1639
102	190	1661
103	192	1658
104	194	1653
105	195	1647
106	196	1642
107	198	1637
108	199	1631
109	201	1627
110	202	1621
111	204	1625
112	206	1621
113	208	1616
114	209	1611
115	210	1606
116	211	1599
117	213	1594
118	214	1589
119	222	1628
120	223	1625
121	224	1618
122	226	1613
123	227	1608
124	228	1602
125	230	1596
126	232	1601
127	234	1599
128	236	1595
129	237	1590
130	239	1587
131	241	1586
132	243	1585
133	244	1581
134	246	1577
135	248	1579
136	251	1581
137	252	1577
138	253	1572
139	255	1566
140	256	1561
141	257	1552
